sku_number,current_soh_units,on_order_units,estimated_demand_before_promo_start_units,formula_before,projected_stock_on_hand_at_promo_start_before_order_units,before_mismatch
42830,6,0,0.198,5.802,5.802,0.0
90163,3,0,0.196,2.804,2.804,0.0
24924,3,0,0.194,2.806,2.806,0.0
199069,4,0,0.19,3.81,3.81,0.0
7235,3,0,0.19,2.81,2.81,0.0
94287,5,0,0.19,4.81,4.81,0.0
584258,3,0,0.19,2.81,2.81,0.0
321338,6,0,0.19,5.81,5.81,0.0
197809,7,0,0.19,6.81,6.81,0.0
188739,3,0,0.19,2.81,2.81,0.0
31522,1,3,0.19,3.81,3.81,0.0
193722,4,0,0.19,3.81,3.81,0.0
192861,5,0,0.19,4.81,4.81,0.0
342491,4,0,0.19,3.81,3.81,0.0
20842,4,0,0.19,3.81,3.81,0.0
199949,4,0,0.19,3.81,3.81,0.0
57314,3,0,0.189,2.811,2.811,0.0
72982,3,0,0.188,2.812,2.812,0.0
380790,4,0,0.187,3.813,3.813,0.0
94056,4,0,0.184,3.816,3.816,0.0
57315,3,0,0.184,2.816,2.816,0.0
369403,4,0,0.182,3.818,3.818,0.0
185192,4,0,0.181,3.819,3.819,0.0
199068,4,0,0.181,3.819,3.819,0.0
16527,3,0,1.429,1.571,1.571,0.0
186512,0,0,0.179,0.0,0.0,0.0
65481,7,0,0.179,6.821,6.821,0.0
26141,3,0,0.179,2.821,2.821,0.0
96150,3,0,0.179,2.821,2.821,0.0
400734,5,0,0.175,4.825,4.825,0.0
189601,3,0,0.175,2.825,2.825,0.0
544795,5,0,0.171,4.829,4.829,0.0
307459,4,0,0.171,3.829,3.829,0.0
459844,3,0,0.171,2.829,2.829,0.0
234931,4,0,0.169,3.831,3.831,0.0
38201,4,0,0.167,3.833,3.833,0.0
298352,4,0,0.167,3.833,3.833,0.0
197810,4,0,0.167,3.833,3.833,0.0
67025,6,0,0.167,5.833,5.833,0.0
38392,0,2,0.286,1.714,1.714,0.0
195075,4,0,0.161,3.839,3.839,0.0
192176,2,0,0.286,1.714,1.714,0.0
668566,3,0,0.159,2.841,2.841,0.0
90426,3,0,0.159,2.841,2.841,0.0
199957,4,0,0.151,3.849,3.849,0.0
66820,3,0,0.148,2.852,2.852,0.0
73263,3,0,1.429,1.571,1.571,0.0
90851,2,0,0.286,1.714,1.714,0.0
90849,0,0,0.143,0.0,0.0,0.0
194043,3,0,0.143,2.857,2.857,0.0
97993,4,0,0.143,3.857,3.857,0.0
192805,5,0,0.143,4.857,4.857,0.0
102088,3,0,0.143,2.857,2.857,0.0
186092,3,0,0.143,2.857,2.857,0.0
55887,3,0,0.143,2.857,2.857,0.0
31821,3,0,0.143,2.857,2.857,0.0
721417,2,0,0.143,1.857,1.857,0.0
20469,3,0,0.143,2.857,2.857,0.0
95497,0,0,0.143,0.0,0.0,0.0
30554,4,0,0.143,3.857,3.857,0.0
92466,7,0,0.143,6.857,6.857,0.0
90015,3,0,0.143,2.857,2.857,0.0
798177,3,0,0.143,2.857,2.857,0.0
